Processor,Description
"Intel Core i5-13450HX(38%)25,529$326.00*","Intel Core i5-13450HX


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1964


Total Cores: 10 Cores, 16 Threads
Performance Cores: 6 Cores, 12 Threads, 2.4 GHz Base, 4.6 GHz Turbo
Efficient Cores: 4 Cores, 4 Threads, 1.8 GHz Base, 3.4 GHz Turbo

Typical TDP: 55 WTDP Down: 45 WTDP Up: 157 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 48 KBL2 Cache: 6 x 1280 KBL3 Cache: 20 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 4 x 64 KBEff. L1 Data Cache: 4 x 32 KBEff. L2 Cache: 1 x 2048 KB
Memory Support: Max. Memory Size: 128 GB (Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s)


Other names: 13th Gen Intel(R) Core(TM) i5-13450HX, 13th Gen Intel Core i5-13450HX
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 78.31
Overall Rank:
434th fastest in multithreading out of 4854 CPUs233rd fastest in single threading out of 4854 CPUs54th fastest in out of 1421 Laptop CPUs 
Last Price Change: $326.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
25529 Single Thread Rating
3578
 Samples: 216*
					
					*Margin for error: Low


+ Compare"
"Intel Core Ultra 7 155H(37%)25,032NA","Intel Core Ultra 7 155H


Description: 


Class: Laptop
Socket: 


Total Cores: 16 Cores, 22 Threads
Performance Cores: 6 Cores, 12 Threads, 3.8 GHz Base, 4.9 GHz Turbo
Efficient Cores: 10 Cores, 10 Threads, NA Base, NA Turbo

Typical TDP: 28 WTDP Down: 20 WTDP Up: 115 W
Cache per CPU Package:L1 Instruction Cache: 6 x 64 KBL1 Data Cache: 6 x 48 KBL2 Cache: 9 x 2048 KBL3 Cache: 24 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 10 x 64 KBEff. L1 Data Cache: 10 x 32 KB


Other names: Intel(R) Core(TM) Ultra 7 155H, Intel Core Ultra 7 155H
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: NA
Overall Rank:
450th fastest in multithreading out of 4854 CPUs253rd fastest in single threading out of 4854 CPUs55th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
25032 Single Thread Rating
3529
 Samples: 753*
					
					*Margin for error: Low


+ Compare"
"Intel Core i7-13620H(37%)24,970$502.00*","Intel Core i7-13620H


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1744


Total Cores: 10 Cores, 16 Threads
Performance Cores: 6 Cores, 12 Threads, 2.4 GHz Base, 4.9 GHz Turbo
Efficient Cores: 4 Cores, 4 Threads, 1.8 GHz Base, 3.6 GHz Turbo

Typical TDP: 45 WTDP Down: 35 WTDP Up: 115 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 48 KBL2 Cache: 6 x 1280 KBL3 Cache: 24 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 4 x 64 KBEff. L1 Data Cache: 4 x 32 KBEff. L2 Cache: 1 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT)


Other names: 13th Gen Intel(R) Core(TM) i7-13620H, 13th Gen Intel Core i7-13620H
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 49.74
Overall Rank:
452nd fastest in multithreading out of 4854 CPUs200th fastest in single threading out of 4854 CPUs56th fastest in out of 1421 Laptop CPUs 
Last Price Change: $502.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
24970 Single Thread Rating
3684
 Samples: 824*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 7840U(37%)24,935NA","AMD Ryzen 7 7840U


Description: w/ Radeon 780M Graphics


Class: Laptop
Socket: 
Clockspeed: 3.3 GHzTurbo Speed: 5.1 GHzCores: 8 Threads: 16Typical TDP: 30 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 7840U w/ Radeon 780M Graphics, AMD Ryzen 7 7840U w/ Radeon  780M Graphics, AMD Ryzen 7 7840U w/ Radeon(TM) 780M Graphics, AMD Ryzen 7 7840U with Radeon 780M Graphics
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
454th fastest in multithreading out of 4854 CPUs228th fastest in single threading out of 4854 CPUs57th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
24935 Single Thread Rating
3594
 Samples: 286*
					
					*Margin for error: Low


+ Compare"
"Apple M3 Pro 11 Core(37%)24,784NA","Apple M3 Pro 11 Core


Description: 14 Core GPU


Class: Laptop
Socket: 


Total Cores: 11 Cores, 11 Threads
Primary Cores: 5 Cores, 5 Threads, 4.0 GHz Base, NA Turbo
Secondary Cores: 6 Cores, 6 Threads, NA Base, NA Turbo

Typical TDP: 27 W


Other names: ARM Apple M3 Pro 11 Core 0 MHz
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
462nd fastest in multithreading out of 4854 CPUs5th fastest in single threading out of 4854 CPUs60th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
24784 Single Thread Rating
4752
 Samples: 276*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 PRO 7840U(37%)24,772NA","AMD Ryzen 7 PRO 7840U


Description: w/ Radeon 780M Graphics


Class: Laptop
Socket: 
Clockspeed: 3.3 GHzTurbo Speed: 5.1 GHzCores: 8 Threads: 16Typical TDP: 30 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
463rd fastest in multithreading out of 4854 CPUs192nd fastest in single threading out of 4854 CPUs61st fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
24772 Single Thread Rating
3698
 Samples: 289*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 7840S(36%)24,635NA","AMD Ryzen 7 7840S


Description: with Radeon 780M Graphics


Class: Laptop
Socket: FP7 FP7r2 FP8
Clockspeed: 3.8 GHzTurbo Speed: 5.1 GHzCores: 8 Threads: 16Typical TDP: 54 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 7840S with Radeon 780M Graphics
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: NA
Overall Rank:
467th fastest in multithreading out of 4854 CPUs202nd fastest in single threading out of 4854 CPUs62nd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
24635 Single Thread Rating
3680
 Samples: 20*
					
					*Margin for error: Medium


+ Compare"
"Intel Core i5-13600H(36%)24,255$311.00*","Intel Core i5-13600H


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 12 Cores, 16 Threads
Performance Cores: 4 Cores, 8 Threads, 2.8 GHz Base, 4.8 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 2.1 GHz Base, 3.6 GHz Turbo

Typical TDP: 45 WTDP Down: 35 WTDP Up: 95 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 48 KBL2 Cache: 4 x 1280 KBL3 Cache: 18 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT)


Other names: 13th Gen Intel(R) Core(TM) i5-13600H
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 77.99
Overall Rank:
477th fastest in multithreading out of 4854 CPUs194th fastest in single threading out of 4854 CPUs63rd fastest in out of 1421 Laptop CPUs 
Last Price Change: $311.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
24255 Single Thread Rating
3696
 Samples: 15*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 7 7435HS(36%)24,206NA","AMD Ryzen 7 7435HS


Description: 


Class: Desktop, Laptop
Socket: FP7r2
Clockspeed: 3.1 GHzTurbo Speed: 4.5 GHzCores: 8 Threads: 16Typical TDP: 45 WTDP Down: 35 WTDP Up: 54 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 7435HS
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
479th fastest in multithreading out of 4854 CPUs402nd fastest in single threading out of 4854 CPUs155th fastest in out of 1382 Desktop CPUs64th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
24206 Single Thread Rating
3221
 Samples: 43*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 8840HS(36%)24,143NA","AMD Ryzen 7 8840HS


Description: w/ Radeon 780M Graphics


Class: Desktop, Laptop
Socket: FP7 FP7r2 FP8
Clockspeed: 3.3 GHzTurbo Speed: 5.1 GHzCores: 8 Threads: 16Typical TDP: 28 WTDP Down: 20 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 8840HS w/ Radeon 780M Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
481st fastest in multithreading out of 4854 CPUs220th fastest in single threading out of 4854 CPUs156th fastest in out of 1382 Desktop CPUs65th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
24143 Single Thread Rating
3624
 Samples: 48*
					
					*Margin for error: Low


+ Compare"
"Qualcomm Snapdragon X Elite - X1E-84-100(36%)24,111NA","Qualcomm Snapdragon X Elite - X1E-84-100


Description: 12 x Qualcomm Oryon CPU cores. Adreno GPU. Hexagon NPU


Class: Laptop
Socket: 
Clockspeed: 3.8 GHzTurbo Speed: 4.2 GHzCores: 12 Threads: 12


Other names: Snapdragon(R) X Elite - X1E84100 - Qualcomm(R) Or
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
484th fastest in multithreading out of 4854 CPUs103rd fastest in single threading out of 4854 CPUs66th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
24111 Single Thread Rating
3958
 Samples: 9*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 7 7735H(35%)24,025NA","AMD Ryzen 7 7735H


Description: AMD Radeon 680M


Class: Laptop
Socket: FP7
Clockspeed: 3.2 GHzTurbo Speed: 4.8 GHzCores: 8 Threads: 16Typical TDP: 54 WTDP Down: 35 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 7735H with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
486th fastest in multithreading out of 4854 CPUs358th fastest in single threading out of 4854 CPUs67th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
24025 Single Thread Rating
3310
 Samples: 30*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 7735HS(35%)24,007NA","AMD Ryzen 7 7735HS


Description: AMD Radeon 680M


Class: Laptop
Socket: FP7
Clockspeed: 3.2 GHzTurbo Speed: 4.8 GHzCores: 8 Threads: 16Typical TDP: 54 WTDP Down: 35 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 7735HS with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
487th fastest in multithreading out of 4854 CPUs334th fastest in single threading out of 4854 CPUs68th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
24007 Single Thread Rating
3352
 Samples: 1105*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 8840U(35%)23,817NA","AMD Ryzen 7 8840U


Description: w/ Radeon 780M Graphics


Class: Desktop, Laptop
Socket: FP7 FP7r2 FP8
Clockspeed: 3.3 GHzTurbo Speed: 5.1 GHzCores: 8 Threads: 16Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 8840U w/ Radeon 780M Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
492nd fastest in multithreading out of 4854 CPUs201st fastest in single threading out of 4854 CPUs158th fastest in out of 1382 Desktop CPUs70th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
23817 Single Thread Rating
3682
 Samples: 75*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 PRO 8840U(35%)23,796NA","AMD Ryzen 7 PRO 8840U


Description: w/ Radeon 780M Graphics


Class: Desktop, Laptop, Server
Socket: FP7 FP7r2
Clockspeed: 3.3 GHzTurbo Speed: 5.1 GHzCores: 8 Threads: 16Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 PRO 8840U w/ Radeon 780M Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
493rd fastest in multithreading out of 4854 CPUs214th fastest in single threading out of 4854 CPUs159th fastest in out of 1382 Desktop CPUs71st fastest in out of 1421 Laptop CPUs280th fastest in out of 1033 Server CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
23796 Single Thread Rating
3640
 Samples: 23*
					
					*Margin for error: Low


+ Compare"
"Intel Core i7-13705H(35%)23,662$502.00*","Intel Core i7-13705H


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1792


Total Cores: 14 Cores, 20 Threads
Performance Cores: 6 Cores, 12 Threads, 2.4 GHz Base, 5.0 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.8 GHz Base, 3.7 GHz Turbo

Typical TDP: 45 WTDP Down: 35 WTDP Up: 115 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 48 KBL2 Cache: 6 x 1280 KBL3 Cache: 24 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT)


Other names: 13th Gen Intel(R) Core(TM) i7-13705H
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 47.14
Overall Rank:
498th fastest in multithreading out of 4854 CPUs276th fastest in single threading out of 4854 CPUs72nd fastest in out of 1421 Laptop CPUs 
Last Price Change: $502.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
23662 Single Thread Rating
3477
 Samples: 16*
					
					*Margin for error: Medium


+ Compare"
"Qualcomm Snapdragon X Elite - X1E-80-100(34%)23,331NA","Qualcomm Snapdragon X Elite - X1E-80-100


Description: 12 x Qualcomm Oryon CPU cores. Adreno GPU. Hexagon NPU


Class: Laptop
Socket: 
Clockspeed: 3.4 GHzTurbo Speed: 4.0 GHzCores: 12 Threads: 12


Other names: Snapdragon(R) X 12-core X1E80100 @ 3.40 GHz, Snapdragon(R) X Elite - X1E80100 - Qualcomm(R) Or, Snapdragon(R) X 12-core X1E8010
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
508th fastest in multithreading out of 4854 CPUs347th fastest in single threading out of 4854 CPUs76th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
23331 Single Thread Rating
3329
 Samples: 77*
					
					*Margin for error: Low


+ Compare"
"Intel Core i7-13700TE(34%)23,074$390.00*","Intel Core i7-13700TE


Description: Intel UHD Graphics 770


Class: Laptop
Socket: FCLGA1700


Total Cores: 16 Cores, 24 Threads
Performance Cores: 8 Cores, 16 Threads, 1.1 GHz Base, 4.8 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 0.8 GHz Base, 3.6 GHz Turbo

Typical TDP: 35 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 48 KBL2 Cache: 8 x 2048 KBL3 Cache: 30 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 4096 KB
Memory Support: Max. Memory Size: 128 GB (Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s, ECC Supported)


Other names: 13th Gen Intel(R) Core(TM) i7-13700TE
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: 59.16
Overall Rank:
518th fastest in multithreading out of 4854 CPUs397th fastest in single threading out of 4854 CPUs78th fastest in out of 1421 Laptop CPUs 
Last Price Change: $390.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
23074 Single Thread Rating
3228
 Samples: 7*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 5 7640HS(34%)22,907NA","AMD Ryzen 5 7640HS


Description: w/ Radeon 760M Graphics


Class: Laptop
Socket: FP7 FP7r2 FP8
Clockspeed: 4.3 GHzTurbo Speed: 5.0 GHzCores: 6 Threads: 12Typical TDP: 54 WTDP Down: 35 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 7640HS w/ Radeon 760M Graphics, AMD Ryzen 5 7640HS with Radeon 760M Graphics
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: NA
Overall Rank:
522nd fastest in multithreading out of 4854 CPUs222nd fastest in single threading out of 4854 CPUs80th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22907 Single Thread Rating
3622
 Samples: 142*
					
					*Margin for error: Low


+ Compare"
"Intel Core Ultra 5 135H(34%)22,822NA","Intel Core Ultra 5 135H


Description: Intel Arc graphics


Class: Laptop
Socket: FCBGA2049


Total Cores: 14 Cores, 18 Threads
Performance Cores: 4 Cores, 8 Threads, 1.7 GHz Base, 4.6 GHz Turbo
Efficient Cores: 10 Cores, 10 Threads, 1.2 GHz Base, 3.6 GHz Turbo

Typical TDP: 28 WTDP Down: 20 WTDP Up: 115 W
Cache per CPU Package:L1 Instruction Cache: 4 x 64 KBL1 Data Cache: 4 x 48 KBL2 Cache: 7 x 2048 KBL3 Cache: 18 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 10 x 64 KBEff. L1 Data Cache: 10 x 32 KB
Memory Support: Max. Memory Size: 96 GB (Up to LPDDR5/x 7467 MT/s Up to DDR5 5600 MT/s)


Other names: Intel(R) Core(TM) Ultra 5 135H
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
524th fastest in multithreading out of 4854 CPUs235th fastest in single threading out of 4854 CPUs81st fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22822 Single Thread Rating
3575
 Samples: 38*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 PRO 7640HS(34%)22,778NA","AMD Ryzen 5 PRO 7640HS


Description: w/ Radeon 760M Graphics


Class: Laptop
Socket: FP7 FP7r2
Clockspeed: 4.3 GHzTurbo Speed: 5.0 GHzCores: 6 Threads: 12Typical TDP: 54 WTDP Down: 35 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 PRO 7640HS w/ Radeon 760M Graphics
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
528th fastest in multithreading out of 4854 CPUs199th fastest in single threading out of 4854 CPUs83rd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22778 Single Thread Rating
3685
 Samples: 6*
					
					*Margin for error: Medium


+ Compare"
"Qualcomm Snapdragon X Elite - X1E-78-100(34%)22,718NA","Qualcomm Snapdragon X Elite - X1E-78-100


Description: 12 x Qualcomm Oryon CPU cores. Adreno GPU. Hexagon NPU


Class: Laptop
Socket: 
Clockspeed: 3.4 GHzTurbo Speed: 3.4 GHzCores: 12 Threads: 12Typical TDP: 23 WTDP Down: 12 WTDP Up: 80 W


Other names: Snapdragon(R) X Elite - X1E78100 - Qualcomm(R) Or, Snapdragon® X Elite - X1E78100 - Qualcomm® Oryon™, Snapdragon(TM) X Elite - X1E78100 - Qualcomm(TM) 
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
529th fastest in multithreading out of 4854 CPUs424th fastest in single threading out of 4854 CPUs84th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22718 Single Thread Rating
3182
 Samples: 61*
					
					*Margin for error: Low


+ Compare"
"Intel Core i5-13500H(33%)22,692NA","Intel Core i5-13500H


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: 


Total Cores: 12 Cores, 16 Threads
Performance Cores: 4 Cores, 8 Threads, 3.5 GHz Base, 4.7 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, NA Base, NA Turbo

Typical TDP: 45 WTDP Down: 35 WTDP Up: 95 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 48 KBL2 Cache: 4 x 1280 KBL3 Cache: 18 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB
Memory Support: Max. Memory Size: 96 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR4x 4267 MT/)


Other names: 13th Gen Intel(R) Core(TM) i5-13500H, 13th Gen Intel Core i5-13500H, 13th Gen Intel(R) CoreT i5-13500H
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
531st fastest in multithreading out of 4854 CPUs245th fastest in single threading out of 4854 CPUs86th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22692 Single Thread Rating
3539
 Samples: 449*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 8645HS(33%)22,505NA","AMD Ryzen 5 8645HS


Description: w/ Radeon 760M Graphics


Class: Desktop, Laptop
Socket: FP7 , FP7r2 , FP
Clockspeed: 4.3 GHzTurbo Speed: 5.0 GHzCores: 6 Threads: 12Typical TDP: 45 WTDP Down: 35 WTDP Up: 54 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 1024 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 8645HS w/ Radeon 760M Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
542nd fastest in multithreading out of 4854 CPUs205th fastest in single threading out of 4854 CPUs177th fastest in out of 1382 Desktop CPUs92nd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22505 Single Thread Rating
3670
 Samples: 44*
					
					*Margin for error: Low


+ Compare"
"Intel Core Ultra 5 125H(33%)22,373NA","Intel Core Ultra 5 125H


Description: Intel Arc graphics


Class: Laptop
Socket: FCBGA2049


Total Cores: 14 Cores, 18 Threads
Performance Cores: 4 Cores, 8 Threads, 3.3 GHz Base, 4.5 GHz Turbo
Efficient Cores: 10 Cores, 10 Threads, 2.3 GHz Base, 3.6 GHz Turbo

Typical TDP: 28 WTDP Down: 20 WTDP Up: 115 W
Cache per CPU Package:L1 Instruction Cache: 4 x 64 KBL1 Data Cache: 4 x 48 KBL2 Cache: 7 x 2048 KBL3 Cache: 18 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 10 x 64 KBEff. L1 Data Cache: 10 x 32 KB
Memory Support: Max. Memory Size: 96 GB (Up to LPDDR5/x 7467 MT/s Up to DDR5 5600 MT/s)


Other names: Intel(R) Core(TM) Ultra 5 125H, Intel Core Ultra 5 125H
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
548th fastest in multithreading out of 4854 CPUs254th fastest in single threading out of 4854 CPUs93rd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22373 Single Thread Rating
3527
 Samples: 230*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 7 7736U(33%)22,195NA","AMD Ryzen 7 7736U


Description: AMD Radeon 680M


Class: Laptop
Socket: FP7
Clockspeed: 2.7 GHzTurbo Speed: 4.7 GHzCores: 8 Threads: 16Typical TDP: 28 WTDP Down: 15 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 7 7736U with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
556th fastest in multithreading out of 4854 CPUs344th fastest in single threading out of 4854 CPUs95th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22195 Single Thread Rating
3338
 Samples: 4*
					
					*Margin for error: High


+ Compare"
"Qualcomm Snapdragon X Plus X1P-64-100(33%)22,134NA","Qualcomm Snapdragon X Plus X1P-64-100


Description: 10 x Qualcomm Oryon CPU cores. Adreno GPU. Hexagon NPU


Class: Laptop
Socket: 
Clockspeed: 3.4 GHzTurbo Speed: 3.4 GHzCores: 10 Threads: 10


Other names: Snapdragon(R) X Plus - X1P64100 - Qualcomm(R) Ory, Snapdragon(R) X 10-core X1P64100 @ 3.40 GHz, Snapdragon(R) X 10-core X1P6410
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
560th fastest in multithreading out of 4854 CPUs435th fastest in single threading out of 4854 CPUs97th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
22134 Single Thread Rating
3151
 Samples: 19*
					
					*Margin for error: Medium


+ Compare"
