Name,Processor,RAM,Video Card,Display,Storage Type,Storage Size,Price,Link
Apple MacBook Pro 13,,,,,Hard disk drive,,₹11899000,https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-touch-bar-late-2020-3/
Lenovo Yoga Slim 7i 14,,,,,Hard disk drive,,₹7499000,https://laptopmedia.com/de/laptop-specs/lenovo-yoga-slim-7i-14-3/
Lenovo Legion Y540 15,,,,,Hard disk drive,,₹7699900,https://laptopmedia.com/de/laptop-specs/lenovo-legion-y540-15-697/
Dell Inspiron 3511,,,,,Hard disk drive,,₹4349000,https://laptopmedia.com/de/laptop-specs/dell-inspiron-3511-668/
Dell Inspiron 5410 2-in-1,,,,,Hard disk drive,,₹8170000,https://laptopmedia.com/de/laptop-specs/dell-inspiron-5410-2-in-1-174/
Acer Aspire 5,,,,,Hard disk drive,,₹6090000,https://laptopmedia.com/de/laptop-specs/acer-aspire-5-549/
ASUS ROG STRIX G15 G512,,,,,Hard disk drive,,₹8899000,https://laptopmedia.com/de/laptop-specs/asus-rog-strix-g15-g512-216/
ASUS VivoBook F571,,,,,Hard disk drive,,₹8739000,https://laptopmedia.com/de/laptop-specs/asus-vivobook-f571-2/
Microsoft Surface Pro X,,,,,Hard disk drive,,₹8999000,https://laptopmedia.com/de/laptop-specs/microsoft-surface-pro-x-11/
MSI GS65 Stealth Thin,,,,,Hard disk drive,,₹14999000,https://laptopmedia.com/de/laptop-specs/msi-gs65-stealth-thin-19/
Lenovo Yoga 6 13,,,,,Hard disk drive,,₹7999000,https://laptopmedia.com/de/laptop-specs/lenovo-yoga-6-13-21/
HP Pavilion 14,,,,,Hard disk drive,,₹5200000,https://laptopmedia.com/de/laptop-specs/hp-pavilion-14-86/
ASUS VivoBook S14 S433,,,,,Hard disk drive,,₹7799000,https://laptopmedia.com/de/laptop-specs/asus-vivobook-s14-s433-41/
Lenovo Thinkpad X1 Carbon 7,,,,,Hard disk drive,,₹21690000,https://laptopmedia.com/de/laptop-specs/lenovo-thinkpad-x1-carbon-7-274/
Dell G3 3500,,,,,Hard disk drive,,₹8299000,https://laptopmedia.com/de/laptop-specs/dell-g3-3500-118/
Lenovo IdeaPad S145 15,,,,,,,₹3599000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-s145-15-1037/
Dell Inspiron 5410 2-in-1,,,,,Hard disk drive,,₹8350000,https://laptopmedia.com/de/laptop-specs/dell-inspiron-5410-2-in-1-173/
Dell Inspiron 3505,,,,,Hard disk drive,,₹4299000,https://laptopmedia.com/de/laptop-specs/dell-inspiron-3505-630/
Dell Inspiron 5410 2-in-1,,,,,Hard disk drive,,₹6369400,https://laptopmedia.com/de/laptop-specs/dell-inspiron-5410-2-in-1-5/
Lenovo IdeaPad 5 15,,,,,Hard disk drive,,₹7430000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-5-15-206/
Microsoft Surface Laptop 3,,,,,Hard disk drive,,₹9999000,https://laptopmedia.com/de/laptop-specs/microsoft-surface-laptop-3-81/
HP 15,,,,,Hard disk drive,,₹4599000,https://laptopmedia.com/de/laptop-specs/hp-15-9313/
Apple MacBook Pro 13 (2020),,,,,Hard disk drive,,₹17490000,https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-2020-2/
Dell XPS 9700,,,,,Hard disk drive,,₹20411400,https://laptopmedia.com/de/laptop-specs/dell-xps-9700-38/
Acer Swift 3,,,,,,,₹7296400,https://laptopmedia.com/de/laptop-specs/acer-swift-3-133/
Acer Swift 5,,,,,Hard disk drive,,₹9793800,https://laptopmedia.com/de/laptop-specs/acer-swift-5-31/
Lenovo Legion 5i 15,,,,,Hard disk drive,,₹13299900,https://laptopmedia.com/de/laptop-specs/lenovo-legion-5i-15-870/
ASUS ROG Flow X13,,,,,Hard disk drive,,₹14299000,https://laptopmedia.com/de/laptop-specs/asus-rog-flow-x13-22/
Acer Aspire 3,,,,,Hard disk drive,,₹4289000,https://laptopmedia.com/de/laptop-specs/acer-aspire-3-570/
Lenovo IdeaPad 3 15 Gaming,,,,,Hard disk drive,,₹6470300,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-3-15-gaming-120/
Apple MacBook Pro 13 (2020),,,,,Hard disk drive,,₹16999000,https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-2020-10/
Lenovo IdeaPad 3 15 Gaming,,,,,Hard disk drive,,₹8200000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-3-15-gaming-118/
Lenovo IdeaPad Flex 5 14,,,,,Hard disk drive,,₹5999000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-flex-5-14-256/
Dell Inspiron 3505,,,,,,,₹3889000,https://laptopmedia.com/de/laptop-specs/dell-inspiron-3505-141/
Lenovo Yoga Slim 7i 14,,,,,Hard disk drive,,₹8785000,https://laptopmedia.com/de/laptop-specs/lenovo-yoga-slim-7i-14/
Lenovo IdeaPad S145 15,,,,,,,₹2999000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-s145-15-1038/
ASUS ROG Zephyrus G14 GA401,,,,,Hard disk drive,,₹11999000,https://laptopmedia.com/de/laptop-specs/asus-rog-zephyrus-g14-ga401-569/
HP Spectre x360 13,,,,,Hard disk drive,,₹12700000,https://laptopmedia.com/de/laptop-specs/hp-spectre-x360-13-67/
ASUS ZenBook Pro Duo UX581,,,,,Hard disk drive,,₹22499000,https://laptopmedia.com/de/laptop-specs/asus-zenbook-pro-duo-ux581-59/
Dell Inspiron 7391 2-in-1,,,,,Hard disk drive,,₹10725000,https://laptopmedia.com/de/laptop-specs/dell-inspiron-7391-2-in-1-63/
Lenovo Yoga Slim 7 Carbon 13,,,,,Hard disk drive,,₹11799000,https://laptopmedia.com/de/laptop-specs/lenovo-yoga-slim-7-carbon-13-4/
HP Pavilion Gaming 15,,,,,Hard disk drive,,₹6699000,https://laptopmedia.com/de/laptop-specs/hp-pavilion-gaming-15-519/
HP ENVY 14,,,,,Hard disk drive,,₹7799900,https://laptopmedia.com/de/laptop-specs/hp-envy-14/
ASUS VivoBook 15,,,,,Hard disk drive,,₹5989000,https://laptopmedia.com/de/laptop-specs/asus-vivobook-15-848/
Lenovo ThinkPad X13 Gen 1,,,,,Hard disk drive,,₹17452700,https://laptopmedia.com/de/laptop-specs/lenovo-thinkpad-x13-gen-1-6/
Lenovo IdeaPad S340 14,,,,,Hard disk drive,,₹4249000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-s340-14-86/
HP 15,,,,,Hard disk drive,,₹4839900,https://laptopmedia.com/de/laptop-specs/hp-15-4008/
Alienware m15 R3,,,,,Hard disk drive,,₹21479000,https://laptopmedia.com/de/laptop-specs/dell-alienware-m15-r3/
MSI GF63 Thin,,,,,Hard disk drive,,₹5999000,https://laptopmedia.com/de/laptop-specs/msi-gf63-thin-104/
ASUS VivoBook 14,,,,,Hard disk drive,,₹4499000,https://laptopmedia.com/de/laptop-specs/asus-vivobook-14-73/
Dell G3 3500,,,,,Hard disk drive,,₹6999000,https://laptopmedia.com/de/laptop-specs/dell-g3-3500-125/
Lenovo IdeaPad 5 15,,,,,Hard disk drive,,₹7389900,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-5-15-201/
HP OMEN 16,,,,,Hard disk drive,,₹10999000,https://laptopmedia.com/de/laptop-specs/hp-omen-16-183/
Lenovo IdeaPad 3i 15,,,,,Hard disk drive,,₹3899000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-3i-15-198/
Lenovo IdeaPad 5 14,,,,,Hard disk drive,,₹6499000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-5-14-109/
