Laptop Name,Link
"ASUS Vivobook 17 M712
Processor
AMD Ryzen 5 3500U
Internal memory
8GB RAM
Video card
AMD Radeon RX Vega 8 (R2000/3000, 15W)
Display
17.3”, Full HD (1920 x 1080), IPS
Hard drive
1000GB HDD
Solid-state drive
256GB SSD
₹74990-36%
₹4848700
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-vivobook-17-m712-242/
"Apple MacBook Pro 13 (2020)
Processor
Intel Core i5-1038NG7
Internal memory
16GB RAM
Video card
Intel Iris Plus Graphics G7
Display
13.3”, WQXGA (2560 x 1600), IPS
Solid-state drive
512GB SSD
₹17490000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-2020-2/
"Dell Inspiron 5518
Processor
Intel Core i5-11300H
Internal memory
8GB RAM
Video card
NVIDIA GeForce MX450
Display
15.6”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹83490-17%
₹6989000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-inspiron-5518-6/
"Dell XPS 9300
Processor
Intel Core i5-1035G1
Internal memory
8GB RAM
Video card
Intel UHD Graphics G1
Display
13.4”, FHD+ (1920 x 1200), IPS
Solid-state drive
512GB SSD
₹154446-42%
₹8999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/dell-xps-9300-62/
"HP Pavilion Gaming 15
Processor
AMD Ryzen 5 5600H
Internal memory
8GB RAM
Video card
NVIDIA GeForce GTX 1650 (Laptop)
Display
15.6”, Full HD (1920 x 1080), 144 Hz, IPS
Solid-state drive
512GB SSD
₹63539-17%
₹5299000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/hp-pavilion-gaming-15-521/
"Apple MacBook Pro 13 (2020)
Processor
Intel Core i5-1038NG7
Internal memory
16GB RAM
Video card
Intel Iris Plus Graphics G7
Display
13.3”, WQXGA (2560 x 1600), IPS
Solid-state drive
512GB SSD
₹174900-3%
₹16999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-2020-10/
"Apple MacBook Pro 16
Processor
Intel Core i9-9880H
Internal memory
16GB RAM
Video card
AMD Radeon Pro 5500M (4GB GDDR6)
Display
16.0″, (3072 x 1920), IPS
Solid-state drive
1000GB SSD
₹239900-7%
₹22499000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-16-2019-87/
"Apple MacBook Pro 13
Processor
Apple M1
Internal memory
8GB RAM
Video card
Apple M1 GPU (8-core)
Display
13.3”, WQXGA (2560 x 1600), IPS
Solid-state drive
512GB SSD
₹142900-3%
₹13999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-touch-bar-late-2020/
"ASUS Chromebook C423
Processor
Intel Celeron N3350
Internal memory
4GB RAM
Video card
Intel HD Graphics 500 (Apollo Lake)
Display
14.0”, HD (1366 x 768), TN
Solid-state drive
64GB SSD
₹29990-14%
₹2599000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/asus-chromebook-c423-54/
"Lenovo Yoga 7i 14
Processor
Intel Core i5-1135G7
Internal memory
16GB RAM
Video card
Intel Iris Xe Graphics G7 (80EU)
Display
14.0”, Full HD (1920 x 1080), IPS
Solid-state drive
512GB SSD
₹125890-29%
₹8999000
Buy Now
Amazon.in",https://laptopmedia.com/de/laptop-specs/lenovo-yoga-7i-14-3/
